Model,Metric,Value
MNL,AUC_rank,4.8
MNL,Accuracy_rank,4.4
MNL,F1_score_rank,4.8
MNL,MAE,4.4
MNL,BIC,2.8
LMNLH1_16N,AUC_rank,4.2
LMNLH1_16N,Accuracy_rank,3.2
LMNLH1_16N,F1_score_rank,3.8
LMNLH1_16N,MAE,3.2
LMNLH1_16N,BIC,3.8
LMNLH2_16N,AUC_rank,3
LMNLH2_16N,Accuracy_rank,3.6
LMNLH2_16N,F1_score_rank,3.4
LMNLH2_16N,MAE,3.4
LMNLH2_16N,BIC,5
LMNLH3_32N,AUC_rank,2
LMNLH3_32N,Accuracy_rank,2.8
LMNLH3_32N,F1_score_rank,1.8
LMNLH3_32N,MAE,3
LMNLH3_32N,BIC,2.4
DNN,AUC_rank,1
DNN,Accuracy_rank,1
DNN,F1_score_rank,1.2
DNN,MAE,1
DNN,BIC,1
CumOrdLogit,AUC_rank,6
CumOrdLogit,Accuracy_rank,6
CumOrdLogit,F1_score_rank,6
CumOrdLogit,MAE,6
CumOrdLogit,BIC,6
